"MB51_ID","MB51_TRANSACTION_DATE","MB51_MATERIAL_CODE","MB51_DESCRIPTION","MB51_POSTING_DATE","MB51_MATERIAL_DOC","MB51_QUANTITY","MB51_UNIT","MB51_LOCATION","MB51_BATCH","MB51_MANUFACTURE_DATE","MB51_TIME","MB51_ORDER","MB51_USERNAME","MB51_HEADER_TEXT","MB51_RESERVATION","MB51_TEXT","MB51_GOODS_RECIPIENT","MB51_PLANT","MB51_BASE_UNIT","MB51_COMPANY_CODE","MB51_COST_CENTER","MB51_DOCUMENT_DATE","MB51_ENTRY_DATE","MB51_GL","MB51_MATERIAL_DOC_YEAR","MB51_MVT","MB51_MOVEMENT_TEXT","MB51_ORDER_UNIT","MB51_NAME1","MB51_QUANTITY_PURCHASE","MB51_PURCHASE_ORDER","MB51_REFERENCE","MB51_SALES_ORDER","MB51_SALES_ORDER1","MB51_VENDOR","MB51_UNLOADING_POINT","MB51_VALUATION_TYPE","MB51_SPECIAL_STOCK","MB51_AMOUNT","FILE_LOG_ID","MB51_FLAG"
"13105553","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913131232","-2.000","BAG","M001","040601-R/T",NULL,"17:50:41",NULL,"PRONDTAN",NULL,"149879584","Routine 04.06.26.4 A013R002",NULL,"0328","G","0003","405053.00","2026-06-08","2026-06-08","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-337.84","9366",NULL
"13105554","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913100227","-1171.000","BOX","M001","040601-R/T",NULL,"11:14:30",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000248","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-3513000.00",NULL,"2000122440",NULL,NULL,NULL,NULL,NULL,NULL,"-1186831.92","9366",NULL
"13105555","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913100136","-1920.000","BOX","M001","040601-R/T",NULL,"11:12:31",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000246","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-5760000.00",NULL,"2000122439",NULL,NULL,NULL,NULL,NULL,NULL,"-1945958.40","9366",NULL
"13105556","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913131232","-6.000","BAG","M001","040602-R/T",NULL,"17:50:41",NULL,"PRONDTAN",NULL,"149879584","Retain 04.06.26.4 A013R002",NULL,"0328","G","0003","405053.00","2026-06-08","2026-06-08","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-3000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-1013.52","9366",NULL
"13105557","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913131232","-4.000","BAG","M001","040602-R/T",NULL,"17:50:41",NULL,"PRONDTAN",NULL,"149879584","Routine 04.06.26.4 A013R002",NULL,"0328","G","0003","405053.00","2026-06-08","2026-06-08","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-2000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-675.68","9366",NULL
"13105558","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913100247","-960.000","BOX","M001","040602-R/T",NULL,"11:15:26",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000244","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-2880000.00",NULL,"2000122441",NULL,NULL,NULL,NULL,NULL,NULL,"-972979.20","9366",NULL
"13105559","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913100227","-749.000","BOX","M001","040602-R/T",NULL,"11:14:30",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000248","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-2247000.00",NULL,"2000122440",NULL,NULL,NULL,NULL,NULL,NULL,"-759126.48","9366",NULL
"13105560","2026-06-08","54000541","แอตลาส_เติมแก๊ส LPG ขนาด48Kg.2หัว","2026-06-08","5005605535","5.000","PC","M004","06-26",NULL,"15:12:38",NULL,"WANTILER","305056667","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-05","2026-06-08",NULL,"2026","101","GR goods receipt","PC","โรงคั่วสุวรรณภูมิ","5.00","305056667","IVV0082606040382",NULL,NULL,"2048975",NULL,NULL,NULL,"5175.00","9366",NULL
"13105561","2026-06-08","54000541","แอตลาส_เติมแก๊ส LPG ขนาด48Kg.2หัว","2026-06-08","5005609055","20.000","PC","M004","06-26",NULL,"17:39:32",NULL,"WANTILER","305056667","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","101","GR goods receipt","PC","โรงคั่วสุวรรณภูมิ","20.00","305056667","IVV0082606070574",NULL,NULL,"2048975",NULL,NULL,NULL,"20700.00","9366",NULL
"13105562","2026-06-08","54000541","แอตลาส_เติมแก๊ส LPG ขนาด48Kg.2หัว","2026-06-08","5005605536","15.000","PC","M004","06-26",NULL,"15:13:41",NULL,"WANTILER","305056667","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-06","2026-06-08",NULL,"2026","101","GR goods receipt","PC","โรงคั่วสุวรรณภูมิ","15.00","305056667","IVV0082606050476",NULL,NULL,"2048975",NULL,NULL,NULL,"15525.00","9366",NULL
"13105563","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913122359","-2.000","BAG","P004","090426-T/B",NULL,"14:58:44",NULL,"SONGPCHI",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,"2000122483",NULL,NULL,NULL,NULL,NULL,NULL,"-337.98","9366",NULL
"13105564","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913121729","-2.000","BAG","P004","090426-T/B",NULL,"14:57:14",NULL,"SONGPCHI",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,"2000122482",NULL,NULL,NULL,NULL,NULL,NULL,"-337.98","9366",NULL
"13105565","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913097499","8.000","BAG","P004","090426-T/B",NULL,"10:17:37",NULL,"SONGPCHI",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-02","2026-06-08","51003100","2026","602","GD Goods deliv. rev.",NULL,"โรงคั่วสุวรรณภูมิ","4000.00",NULL,"2000122183",NULL,NULL,NULL,NULL,NULL,NULL,"1351.92","9366","1"
"13105566","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913122360","-2.000","BAG","P004","090426-T/B",NULL,"14:59:47",NULL,"SONGPCHI",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,"2000122484",NULL,NULL,NULL,NULL,NULL,NULL,"-337.98","9366",NULL
"13105567","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913119551","-40.000","BAG","P004","090426-T/B",NULL,"14:48:25",NULL,"CHONMPRA",NULL,"0",NULL,"0001102022","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-20000.00",NULL,"2000122479",NULL,NULL,NULL,NULL,NULL,NULL,"-6759.60","9366",NULL
"13105568","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913117868","-12.000","BAG","P004","090426-T/B",NULL,"14:43:47",NULL,"SONGPCHI",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-6000.00",NULL,"2000122476",NULL,NULL,NULL,NULL,NULL,NULL,"-2027.88","9366",NULL
"13105569","2026-06-08","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-08","4913122534","-2.000","BAG","P004","090426-T/B",NULL,"15:00:34",NULL,"SONGPCHI",NULL,"0",NULL,"OTC0600","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,"2000122485",NULL,NULL,NULL,NULL,NULL,NULL,"-337.98","9366",NULL
"13106349","2026-06-08","58000002","WIPF WICOVALVE W009","2026-06-08","4913098559","20000.000","PC","P003","20260427",NULL,"10:40:29",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","20000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9366",NULL
"13106350","2026-06-08","58000002","WIPF WICOVALVE W009","2026-06-08","4913098559","-20000.000","PC","M003","20260427",NULL,"10:40:29",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-20000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9366",NULL
"13106351","2026-06-08","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-08","4913098559","3000.000","PC","P003","20260518",NULL,"10:40:29",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","3000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9366",NULL
"13106352","2026-06-08","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-08","4913098559","-3000.000","PC","M003","20260518",NULL,"10:40:29",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-3000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9366",NULL
